,k1,k2,k3,a1,a2,a3
0,145.96686,182.3594,99.4699,36.69518,25.569126,37.24035
1,144.05862,185.20361,101.921394,36.959213,26.170824,35.413864
2,149.14493,184.54846,97.788765,35.4064,27.09418,35.71915
3,146.31194,168.32373,95.05586,35.76528,27.091688,35.931355
4,149.1958,167.58328,95.82763,36.01026,26.652416,35.462196
5,148.79617,170.06908,95.66838,35.09255,27.525303,35.286404
6,148.24724,171.71556,96.695404,35.14554,27.207546,35.205776
7,149.43306,168.47342,96.42747,35.166306,27.015701,35.23072
8,148.35594,165.00798,97.84121,35.623306,27.286932,35.18276
9,154.3634,165.26468,97.68979,34.93929,27.244827,35.370483
10,151.58275,164.31992,97.50063,34.832745,27.207905,35.28964
11,150.77876,163.99622,97.175606,34.931763,27.235847,35.34042
12,150.62494,164.23486,97.57906,35.12582,27.620907,35.407753
13,150.16011,163.97748,98.00372,34.920834,27.318274,35.42514
14,150.34941,163.84357,98.153564,34.821953,27.575645,35.08793
15,151.64406,161.2962,98.78948,34.853233,27.596333,35.093487
16,147.58908,162.56041,98.95139,35.431976,27.561817,34.972042
17,153.68341,164.00185,98.97053,35.066208,27.570759,35.067036
18,153.62105,165.0163,99.10113,34.436684,27.35733,35.186295
19,153.56253,165.31299,97.706345,34.526093,27.510681,35.483177
20,153.27353,163.57211,98.08913,34.330086,27.592876,35.380592
21,153.26678,164.119,98.23484,34.33824,27.514242,35.416443
22,153.13948,164.55316,98.16206,34.434113,27.398727,35.230988
23,152.69562,161.76628,98.481476,34.396267,27.408928,35.284294
24,152.48314,162.53502,97.71183,34.353424,27.521631,35.381012
25,153.67293,162.93134,97.56257,34.25457,27.28724,35.454193
26,153.3586,165.38885,97.73489,34.38611,27.273907,35.26293
27,153.28845,164.7623,97.47562,34.746853,27.289404,35.322056
28,148.91663,163.85641,98.054184,34.824203,27.308512,35.233215
29,148.54675,163.25667,98.09742,35.406303,27.3824,35.244354
30,147.81686,162.3604,97.059616,35.090496,27.410114,35.14989
31,148.22128,161.37692,97.35245,35.05654,27.581745,35.127426
32,149.85097,162.13846,98.23411,34.988922,27.463661,35.062225
33,149.1446,163.74155,98.00486,35.05018,27.656588,34.945694
34,147.08109,164.72327,98.21207,35.154022,27.44439,35.316277
35,149.83795,163.50653,98.162865,35.14593,27.241669,35.326244
36,149.91106,163.71535,98.312164,35.106346,27.454506,35.260376
37,148.93184,163.77159,97.59692,34.9896,27.341831,35.389584
38,150.08878,161.81345,96.32582,35.021564,27.466932,35.40766
39,149.83334,162.6001,97.522896,34.965935,27.429415,35.354877
40,149.35777,162.25768,97.747345,34.8404,27.471426,35.161655
41,149.3777,163.375,99.46687,34.837044,27.519981,35.107685
42,149.53511,164.23305,98.9399,34.835537,27.6842,34.942295
43,149.46735,160.4244,98.60917,34.81526,27.751308,35.17225
44,150.41794,162.38773,98.85506,34.915443,27.668806,34.946114
45,148.84407,162.56346,99.25921,35.00095,27.56141,34.949104
46,148.81458,162.0837,98.81733,35.286255,27.65241,35.001183
47,148.87358,163.71974,99.17281,35.04503,27.597485,35.07698
48,148.01634,162.00064,98.11926,35.01141,27.554365,35.127773
