,k1,k2,k3,a1,a2,a3
0,217.6643,159.30283,159.4602,32.32133,25.959469,25.428185
1,223.3363,157.86258,154.90016,28.676155,25.737411,26.565216
2,224.70601,158.55241,152.00093,23.14161,25.06855,28.63916
3,219.31961,158.4051,156.00311,28.066153,25.63809,26.668436
4,229.94522,160.1643,151.8315,25.605453,24.363987,27.964508
5,229.84566,157.97676,149.94267,22.960052,25.162415,28.734772
6,224.11487,160.30812,153.65808,25.62669,24.830357,27.616657
7,224.4406,158.61806,153.93915,26.540604,25.175985,27.40242
8,218.20476,158.4719,152.73631,25.596771,24.658571,27.96632
9,219.17305,159.27177,154.01068,29.595718,25.388578,26.371754
10,214.67523,158.79921,157.18729,36.10482,26.051655,25.121033
11,213.87262,159.59901,158.15958,35.433365,26.223785,25.01984
12,209.55605,157.5539,157.54288,35.290054,25.750675,25.159485
13,207.88577,158.75748,159.60382,37.865196,26.278027,24.697638
14,211.85219,159.05333,158.67284,36.071426,26.237583,24.906471
15,214.65726,159.38226,157.5997,33.81804,25.732523,25.406975
16,218.67906,159.27472,159.38979,34.428253,25.988834,25.06649
17,221.21103,159.64056,155.17207,29.650082,25.268147,26.38044
18,220.13922,159.41954,155.18947,28.614948,25.506289,26.45734
19,221.58789,159.29672,156.52185,31.79486,25.98862,25.534756
20,211.80203,158.47768,157.25226,36.260437,26.072971,25.034538
21,213.75249,157.52255,156.35503,34.171352,25.812757,25.361725
22,213.91858,159.56,157.08856,33.186295,26.368212,25.496922
23,218.19151,157.26144,157.45216,31.784077,25.659332,25.782282
24,208.69508,158.81242,158.7936,36.104683,26.26208,24.992237
25,217.33484,158.0827,157.33162,33.707645,25.600393,25.203402
26,214.64766,160.11281,154.5688,30.207512,25.418724,26.212872
27,219.20763,157.97417,156.18239,28.854624,25.213383,26.47062
28,218.04405,158.38023,157.27014,31.259502,25.655972,25.962463
29,214.80566,158.5087,155.36519,30.77277,25.78393,25.995987
30,210.12898,158.70152,156.3373,34.275978,25.654284,25.445972
31,211.01755,159.08891,159.2003,37.1282,26.14418,24.928795
32,215.21378,160.12338,158.27904,34.068726,25.978996,25.328539
33,211.6366,158.53256,157.99371,37.646736,25.892479,24.66449
34,218.58241,157.74203,157.28146,32.80328,25.79739,25.429337
35,212.06213,157.9406,158.41753,38.23572,26.237747,24.58007
36,210.16113,160.20876,159.85146,36.960476,25.879759,24.93093
37,215.95332,158.31705,157.38812,34.90677,25.490149,25.161694
38,213.37727,158.35008,161.01347,36.55803,26.226912,24.8401
39,215.39915,159.35416,158.77402,33.639153,25.948343,25.3123
40,212.6438,157.52373,156.13503,32.08737,25.362,25.76828
41,221.45671,157.86409,152.73898,27.15009,25.195915,27.007961
42,218.28992,158.36911,158.28015,33.05912,25.883703,25.48925
43,210.61354,159.09915,159.80191,39.937843,26.41379,24.436356
44,211.27419,158.75261,157.72603,35.835293,26.103832,25.04393
45,216.79753,159.60753,156.18192,29.879847,25.224861,26.237244
46,218.10585,157.77057,156.0118,28.743752,25.749294,26.440546
47,219.37239,160.20132,157.87756,30.39272,25.631403,26.051266
48,221.1677,158.64847,155.71277,27.612574,25.38069,26.77855
49,223.14905,158.05898,151.9552,25.22567,25.148552,28.082508
50,224.27148,159.03685,154.97682,28.014492,25.53603,26.70887
51,224.44711,159.56882,154.4669,26.252048,25.061455,27.387817
52,218.72322,159.6046,155.46895,28.178223,24.775005,26.696007
53,214.46404,159.89952,154.8994,30.373281,25.177473,26.216274
54,221.75952,158.61151,153.1744,24.92853,25.019793,27.861153
55,222.7144,159.30482,154.1888,26.549997,24.74126,27.248213
56,224.47246,159.29904,153.63992,25.328543,25.182932,27.862572
57,226.63397,158.76028,153.5867,25.054129,24.85802,27.856552
58,219.21858,157.6224,155.49315,28.020374,25.334198,26.632538
59,217.58286,159.06987,157.01547,28.15992,25.430113,26.541073
60,216.92448,158.18617,153.84637,29.293005,25.412092,26.268757
61,224.29361,158.32997,153.3799,24.132545,24.9977,28.2649
62,224.69446,158.97609,152.21469,25.690475,24.997559,27.50278
63,221.68036,159.59343,154.96323,27.131477,25.158525,26.888714
64,228.7,158.72484,152.78865,25.602314,25.179085,27.34974
65,212.3505,158.13583,159.31744,38.097076,26.192387,24.740692
66,210.88708,158.60275,159.10287,39.42585,26.281385,24.460781
