,k1,k2,
200,241.54291,233.86258,CNN
201,243.98691,248.66917,CNN
202,240.30865,241.89073,CNN
203,248.77899,242.23283,CNN
204,239.03264,246.41606,CNN
205,248.86272,245.20998,CNN
206,244.3157,248.76773,CNN
207,248.14272,230.2419,CNN
208,241.62193,220.25215,CNN
209,245.37038,249.98483,CNN
210,248.55803,236.43086,CNN
211,248.01143,243.02182,CNN
212,246.35777,248.93912,CNN
213,246.99727,241.78696,CNN
214,249.81334,248.31183,CNN
215,247.6172,232.1868,CNN
216,249.02983,244.7351,CNN
217,246.73174,234.2873,CNN
218,247.75163,236.18246,CNN
219,249.56497,237.71046,CNN
220,248.5554,249.98018,CNN
221,249.6358,234.59937,CNN
222,247.20424,242.33553,CNN
223,240.83736,242.27745,CNN
224,241.85347,242.87334,CNN
225,248.5585,245.05328,CNN
226,235.5638,234.93547,CNN
227,248.98402,246.38737,CNN
228,249.11699,240.89743,CNN
229,247.68839,240.224,CNN
230,248.63069,239.52432,CNN
231,248.31516,249.05011,CNN
232,243.4872,226.4983,CNN
233,249.39484,216.2206,CNN
234,245.16689,246.68358,CNN
235,244.60593,245.02568,CNN
236,238.60292,234.79752,CNN
237,247.70953,226.79697,CNN
238,243.92331,242.7436,CNN
239,249.58,248.8535,CNN
240,249.46272,227.42085,CNN
241,249.20926,240.8084,CNN
242,246.16643,237.6182,CNN
243,247.92418,242.66061,CNN
244,245.43834,244.95998,CNN
245,237.71367,243.519,CNN
246,249.82317,215.1172,CNN
247,246.23897,245.86937,CNN
248,243.32042,247.64043,CNN
249,244.48108,235.98116,CNN
250,247.7479,245.67456,CNN
251,249.23312,237.449,CNN
252,249.31897,245.42496,CNN
253,249.58481,228.30261,CNN
254,242.51028,248.4653,CNN
255,248.91139,248.63028,CNN
256,249.50354,244.41936,CNN
257,238.45593,246.64388,CNN
258,245.17476,234.87646,CNN
259,243.17574,246.51953,CNN
260,248.35713,240.97507,CNN
261,248.88734,248.52406,CNN
262,249.71507,239.39653,CNN
263,244.74944,249.15085,CNN
264,240.87404,249.60149,CNN
265,248.35217,236.26396,CNN
266,245.22844,230.98787,CNN
267,249.48729,240.88303,CNN
268,246.08133,239.4188,CNN
269,248.12099,247.30415,CNN
270,241.05586,235.87698,CNN
271,244.59077,242.3123,CNN
272,246.86972,235.56927,CNN
273,244.19824,244.59406,CNN
274,233.9598,237.27722,CNN
275,247.70305,228.35788,CNN
276,247.59914,223.43494,CNN
277,246.42235,224.81404,CNN
278,244.77779,236.22183,CNN
279,242.1527,247.44052,CNN
280,248.37105,242.8351,CNN
281,239.43661,242.77028,CNN
282,245.39061,239.04733,CNN
283,249.1136,229.95541,CNN
284,249.92424,240.61891,CNN
285,241.67111,231.65579,CNN
286,248.63182,226.6504,CNN
287,247.95338,249.91876,CNN
288,249.26672,248.72467,CNN
289,243.34485,245.27309,CNN
290,246.01791,249.16467,CNN
291,246.73897,244.49503,CNN
292,249.93922,232.98131,CNN
293,247.76102,229.42134,CNN
294,240.73839,248.77203,CNN
295,249.77985,243.02945,CNN
296,246.28726,245.2315,CNN
297,247.1029,245.08661,CNN
298,248.50603,231.4814,CNN
299,249.41985,227.55934,CNN
300,238.25342,235.7943,CNN
301,232.02498,234.79755,CNN
302,242.93082,248.6323,CNN
303,240.90993,241.34708,CNN
304,246.01915,224.52092,CNN
305,246.72563,234.20198,CNN
306,248.87178,237.85739,CNN
307,248.1167,249.60573,CNN
308,249.92288,245.38562,CNN
309,246.56676,240.16968,CNN
310,242.39378,248.98573,CNN
311,249.65395,242.60242,CNN
312,244.83289,247.99286,CNN
313,242.6873,248.79971,CNN
314,241.0322,244.52907,CNN
315,245.80096,234.77,CNN
316,239.49477,247.42165,CNN
317,247.20006,235.27052,CNN
318,248.1674,232.91467,CNN
319,249.6075,248.78717,CNN
320,246.19376,243.03436,CNN
321,246.52928,238.72375,CNN
322,249.09572,242.60098,CNN
323,244.48921,243.49455,CNN
324,247.43285,249.56631,CNN
325,248.81311,232.34177,CNN
326,239.93915,248.602,CNN
327,243.31624,242.70993,CNN
328,241.29088,241.18964,CNN
329,246.05815,241.87045,CNN
330,246.03958,248.12448,CNN
331,247.56459,234.32893,CNN
332,243.20602,247.7973,CNN
333,244.70708,244.48782,CNN
334,239.60875,247.50879,CNN
335,245.70941,249.2848,CNN
336,247.6229,237.69101,CNN
337,245.76242,241.81851,CNN
338,245.9827,233.80356,CNN
339,246.24336,238.81715,CNN
340,245.17729,247.95338,CNN
341,246.15111,248.24896,CNN
342,246.18283,245.39235,CNN
343,248.89243,240.78177,CNN
344,245.69196,235.63301,CNN
345,246.78336,227.54626,CNN
346,243.1759,242.11375,CNN
347,240.22728,248.32832,CNN
348,244.69534,233.79616,CNN
349,249.95383,229.70418,CNN
350,243.48976,243.1891,CNN
351,249.65263,239.66183,CNN
352,246.85745,249.02077,CNN
353,248.45947,209.3509,CNN
354,241.3223,242.68344,CNN
355,248.5383,230.81184,CNN
356,243.08899,245.3493,CNN
357,248.08264,244.6477,CNN
358,249.24425,233.85272,CNN
359,248.4512,231.41266,CNN
360,243.63626,249.54524,CNN
361,248.9632,246.5281,CNN
362,245.38565,231.47658,CNN
363,246.40413,240.43687,CNN
364,247.24704,241.01105,CNN
365,248.93716,243.9095,CNN
366,246.37073,223.03961,CNN
367,247.36638,241.81154,CNN
368,244.21155,224.14633,CNN
369,243.42047,245.27406,CNN
370,249.79065,239.31206,CNN
371,249.62006,230.24956,CNN
372,249.27359,235.54906,CNN
373,249.62022,235.39565,CNN
374,246.92218,247.47827,CNN
375,247.73026,248.79109,CNN
376,244.57306,249.64412,CNN
377,245.8855,246.54068,CNN
378,249.86987,236.64432,CNN
379,249.11916,249.82558,CNN
380,247.91724,247.74608,CNN
381,243.14609,236.78423,CNN
382,239.7052,243.80876,CNN
383,249.2013,222.27835,CNN
384,249.51099,242.34409,CNN
385,249.31837,242.09445,CNN
386,246.07271,246.59753,CNN
387,246.60875,247.39766,CNN
388,243.16689,245.0301,CNN
389,242.60931,243.89575,CNN
390,247.73503,245.02716,CNN
391,241.46773,246.77063,CNN
392,249.31738,230.62646,CNN
393,249.01982,241.78107,CNN
394,245.38765,244.5188,CNN
395,247.77719,241.68692,CNN
396,245.59723,219.0359,CNN
397,248.77457,231.06119,CNN
398,248.5893,231.80057,CNN
399,247.23842,239.77582,CNN
400,244.74614,249.7363,CNN
401,243.9108,244.21693,CNN
402,243.4456,241.95168,CNN
403,249.24863,246.97023,CNN
404,248.00029,245.16927,CNN
405,249.63365,228.63292,CNN
406,246.59445,237.1593,CNN
407,244.34882,242.43704,CNN
408,248.07057,234.70428,CNN
409,246.56839,245.41135,CNN
410,243.74846,247.99835,CNN
411,249.47203,241.01227,CNN
412,244.0242,239.58678,CNN
413,248.06602,248.33733,CNN
414,248.8994,234.21855,CNN
415,243.38858,247.85464,CNN
416,249.77536,242.88501,CNN
417,243.416,243.69891,CNN
418,246.87634,237.92714,CNN
419,249.65808,234.77116,CNN
420,248.89056,239.78792,CNN
421,245.27307,244.70193,CNN
422,244.53876,240.14757,CNN
423,240.60497,229.94534,CNN
424,248.02415,234.91557,CNN
425,244.93292,232.5444,CNN
426,249.30038,247.609,CNN
427,246.90399,221.50514,CNN
428,244.7614,249.27393,CNN
429,243.9578,245.4511,CNN
430,247.07536,245.04903,CNN
431,248.45111,243.02917,CNN
432,244.27097,241.40256,CNN
433,233.9101,236.71266,CNN
434,245.35028,248.18382,CNN
435,244.82439,236.8964,CNN
436,244.72629,245.29272,CNN
437,237.63298,243.46657,CNN
438,247.92583,239.36893,CNN
439,249.27173,241.0669,CNN
440,248.89198,225.07007,CNN
441,242.26202,242.45125,CNN
442,244.72662,243.83829,CNN
443,245.70363,248.21405,CNN
444,243.5597,230.36488,CNN
445,247.24065,239.00557,CNN
446,240.49942,246.76036,CNN
447,247.32875,228.0717,CNN
448,246.58218,233.52432,CNN
449,248.74551,244.5521,CNN
450,245.15079,239.33214,CNN
451,242.89224,237.95068,CNN
452,249.56673,228.73723,CNN
453,248.70444,222.3914,CNN
454,243.33727,224.23047,CNN
455,242.18617,249.80844,CNN
456,247.37595,244.939,CNN
457,247.15489,242.43626,CNN
458,248.21915,223.78214,CNN
459,246.33334,235.73108,CNN
460,243.54132,234.49884,CNN
461,249.98647,233.92085,CNN
462,239.04938,239.49791,CNN
463,247.85722,248.45111,CNN
