,k1,k2,
857,244.8599,249.56459,CNN
858,237.055,240.41345,CNN
859,248.47191,240.91205,CNN
860,244.9513,224.54268,CNN
861,249.64629,237.55899,CNN
862,245.07008,240.03114,CNN
863,249.08788,249.86543,CNN
864,248.93532,242.8505,CNN
865,248.94762,238.60472,CNN
866,243.96988,234.02109,CNN
867,249.8706,237.18315,CNN
868,243.43593,241.01385,CNN
869,247.4638,236.78386,CNN
870,249.16284,225.70963,CNN
871,249.0326,244.32945,CNN
872,245.48969,249.986,CNN
873,244.5624,245.00409,CNN
874,243.93056,242.8929,CNN
875,249.48672,244.577,CNN
876,247.6352,238.12222,CNN
877,246.81291,246.32278,CNN
878,243.64052,244.53049,CNN
879,242.51492,243.17621,CNN
880,249.66655,230.41544,CNN
881,239.89922,245.68228,CNN
882,246.2063,248.51866,CNN
883,242.63583,249.96657,CNN
884,247.86911,240.60323,CNN
885,247.39462,217.83942,CNN
886,245.34396,242.83107,CNN
887,245.0845,244.43524,CNN
888,246.9205,243.74707,CNN
889,243.59636,238.2908,CNN
890,241.57863,241.60097,CNN
891,242.42485,248.21553,CNN
892,248.55818,240.18239,CNN
893,243.9072,245.65181,CNN
894,247.89928,242.87724,CNN
895,247.74098,248.54454,CNN
896,243.43102,244.74716,CNN
897,243.40742,229.71141,CNN
898,247.54642,249.64088,CNN
899,247.12733,248.59987,CNN
900,248.8928,244.86803,CNN
901,248.26788,247.43932,CNN
902,249.47072,234.66797,CNN
903,247.95296,233.82318,CNN
904,239.89903,247.77011,CNN
905,243.10426,241.2152,CNN
906,245.001,234.27837,CNN
907,246.01834,241.09648,CNN
908,249.25885,235.63045,CNN
909,240.65256,240.77621,CNN
910,249.03932,248.37132,CNN
911,248.20023,240.57169,CNN
912,249.97202,247.56609,CNN
913,248.9753,230.05893,CNN
914,241.25737,245.54082,CNN
915,240.27933,246.21996,CNN
916,248.00107,242.32497,CNN
917,243.57767,239.27075,CNN
918,247.8715,243.60033,CNN
919,243.57307,241.45497,CNN
920,248.41167,249.6656,CNN
921,243.6355,246.44423,CNN
922,247.20088,245.48044,CNN
923,244.7393,248.74771,CNN
924,244.58907,237.35927,CNN
925,243.16022,242.67061,CNN
926,248.1248,228.29865,CNN
927,248.27686,247.9609,CNN
928,246.38156,248.9622,CNN
929,247.08495,234.72507,CNN
930,247.55077,244.26,CNN
931,242.56305,240.75081,CNN
932,240.3846,247.92468,CNN
933,246.35887,244.1289,CNN
934,248.20569,232.89978,CNN
935,243.99289,239.84868,CNN
936,246.17468,248.63153,CNN
937,246.37186,228.2942,CNN
938,245.27708,243.89455,CNN
939,245.02536,243.3275,CNN
940,240.95901,243.92978,CNN
941,245.25262,232.70084,CNN
942,246.07098,241.18341,CNN
943,238.4076,241.89505,CNN
944,245.28894,240.28427,CNN
945,249.36607,245.49313,CNN
946,243.6654,247.60188,CNN
947,244.18547,242.49756,CNN
948,241.24127,248.72098,CNN
949,249.31975,247.34537,CNN
950,241.46866,233.58443,CNN
951,238.55153,243.11818,CNN
952,241.36224,239.26314,CNN
953,241.27634,246.36694,CNN
954,249.25027,236.99103,CNN
955,246.89021,247.86458,CNN
956,248.22903,232.53186,CNN
957,246.50198,244.00638,CNN
958,247.68839,243.00087,CNN
959,246.36081,245.86716,CNN
960,245.30792,248.76968,CNN
961,248.7928,242.4304,CNN
962,246.29909,245.20479,CNN
963,246.33488,237.52412,CNN
964,248.64015,237.26567,CNN
965,243.86319,248.57407,CNN
966,247.02628,248.58914,CNN
967,243.16269,243.89381,CNN
968,247.78636,236.94316,CNN
969,244.31345,249.93275,CNN
970,247.20595,243.26704,CNN
971,249.58282,242.49152,CNN
972,245.58218,234.10931,CNN
973,249.02592,230.27946,CNN
974,245.6903,241.26436,CNN
975,248.18117,246.74686,CNN
976,242.10703,247.16574,CNN
977,246.21786,246.31728,CNN
978,240.738,249.4119,CNN
979,239.48999,247.26851,CNN
980,243.39204,238.34233,CNN
981,249.97986,235.10902,CNN
982,243.21716,249.27434,CNN
983,246.16182,236.46873,CNN
984,247.3482,241.78244,CNN
985,248.62363,242.11618,CNN
986,243.56548,227.04245,CNN
987,241.55836,237.37761,CNN
988,244.90291,248.29216,CNN
989,245.83493,226.58687,CNN
990,243.66484,222.74437,CNN
991,244.46254,235.82596,CNN
992,247.14842,249.16405,CNN
993,246.98999,245.62164,CNN
994,248.2758,235.39873,CNN
995,243.20844,243.3347,CNN
996,249.48595,239.69673,CNN
997,249.52457,223.44211,CNN
998,246.57921,241.75089,CNN
999,249.51364,244.17181,CNN
1000,249.58125,220.12009,CNN
1001,249.41682,245.76015,CNN
1002,242.97609,248.58499,CNN
1003,242.16838,246.60353,CNN
1004,246.58562,248.33588,CNN
1005,249.32217,247.82495,CNN
1006,245.9006,237.39232,CNN
1007,249.48953,249.78612,CNN
1008,246.832,248.61267,CNN
1009,248.81036,238.5445,CNN
1010,243.58916,238.44601,CNN
1011,249.52956,238.89142,CNN
1012,240.33319,240.87672,CNN
1013,240.95052,249.50949,CNN
1014,246.6068,249.62198,CNN
1015,249.57144,232.76825,CNN
1016,247.83994,228.94475,CNN
1017,239.70506,240.18204,CNN
1018,248.1281,244.0168,CNN
1019,245.37608,249.021,CNN
1020,247.71027,247.41724,CNN
1021,249.41765,249.28499,CNN
1022,246.93259,239.20485,CNN
1023,238.37462,239.43436,CNN
1024,247.39099,238.50833,CNN
1025,249.56183,245.84184,CNN
1026,239.93262,241.91014,CNN
1027,248.71986,240.4977,CNN
1028,249.75082,232.95222,CNN
1029,245.43924,245.86813,CNN
1030,247.50557,244.24696,CNN
1031,246.67294,236.70047,CNN
1032,249.81035,236.96822,CNN
1033,246.51877,237.49301,CNN
1034,242.56375,239.55357,CNN
1035,245.18251,241.97726,CNN
1036,249.51924,238.6833,CNN
1037,244.56548,242.86456,CNN
1038,242.13445,246.97075,CNN
1039,247.77257,237.26688,CNN
1040,248.65193,242.67593,CNN
1041,244.24078,246.73781,CNN
1042,248.18439,239.3014,CNN
1043,243.02873,238.10483,CNN
1044,248.58347,243.72208,CNN
1045,242.47984,239.13376,CNN
1046,241.30165,247.69553,CNN
1047,242.18257,247.03395,CNN
1048,249.06665,224.3398,CNN
1049,241.79944,239.72336,CNN
1050,236.08331,239.04417,CNN
1051,241.96985,248.87514,CNN
1052,247.69206,240.26926,CNN
1053,244.10776,237.12299,CNN
1054,247.3601,238.61235,CNN
1055,245.54604,246.49197,CNN
1056,235.23894,241.95432,CNN
1057,245.75471,228.64337,CNN
1058,244.0824,238.8214,CNN
1059,248.39072,240.91608,CNN
1060,247.85301,237.1343,CNN
1061,247.58794,247.78714,CNN
1062,245.39136,244.89229,CNN
1063,241.5985,246.65063,CNN
1064,245.1199,240.37085,CNN
1065,245.97136,222.81104,CNN
1066,245.74242,242.02104,CNN
1067,242.12416,247.53911,CNN
1068,247.84521,227.19705,CNN
1069,249.3646,234.30539,CNN
1070,245.0819,231.9129,CNN
1071,249.3278,241.50298,CNN
1072,249.37827,228.44753,CNN
1073,243.53113,245.21274,CNN
1074,246.11717,249.18823,CNN
1075,247.30946,235.36208,CNN
1076,246.50017,239.50684,CNN
1077,240.30522,246.5028,CNN
1078,249.30875,236.9662,CNN
1079,246.17526,241.62257,CNN
1080,247.56271,233.0891,CNN
1081,248.04538,247.00029,CNN
1082,241.8416,247.27066,CNN
1083,245.05826,248.02043,CNN
1084,249.22632,241.64264,CNN
1085,247.17438,248.51974,CNN
1086,248.9986,244.01607,CNN
1087,247.9147,225.71606,CNN
1088,247.03221,247.46732,CNN
1089,249.00745,246.38686,CNN
1090,247.2937,239.27821,CNN
1091,249.81831,247.73055,CNN
1092,247.87175,236.4893,CNN
1093,239.77919,238.83022,CNN
1094,237.01488,241.26636,CNN
1095,244.90324,226.78235,CNN
1096,244.95653,248.72495,CNN
1097,249.76012,233.29333,CNN
1098,248.91519,234.30171,CNN
1099,246.19621,233.41124,CNN
1100,235.91132,245.2423,CNN
1101,244.31445,248.48186,CNN
1102,246.62251,243.80742,CNN
1103,246.63284,226.4927,CNN
1104,249.15247,241.74886,CNN
1105,248.68208,236.186,CNN
1106,243.78253,243.58188,CNN
1107,245.84978,224.54526,CNN
1108,247.89127,239.15892,CNN
1109,243.34456,246.22087,CNN
1110,242.1586,249.38707,CNN
1111,249.39958,245.60461,CNN
1112,247.6605,241.28496,CNN
1113,240.46733,227.26158,CNN
1114,247.70084,237.73355,CNN
1115,248.78342,236.77808,CNN
1116,248.44055,244.70541,CNN
1117,243.98117,247.27101,CNN
1118,242.0587,237.99431,CNN
1119,248.25621,242.99829,CNN
1120,245.16129,243.52574,CNN
1121,249.78633,225.11476,CNN
1122,239.09885,245.40152,CNN
1123,245.03175,228.10709,CNN
1124,244.3871,242.73128,CNN
1125,248.05719,235.5471,CNN
1126,246.13985,241.26929,CNN
1127,247.63966,225.09305,CNN
1128,243.7187,245.37587,CNN
1129,238.6557,238.60594,CNN
1130,249.99168,245.452,CNN
1131,248.23033,234.0994,CNN
1132,245.43553,241.76372,CNN
1133,248.75052,238.90482,CNN
1134,249.3965,249.35211,CNN
1135,248.39621,236.04926,CNN
1136,248.63539,243.11913,CNN
1137,247.29874,242.95944,CNN
1138,240.70546,249.32808,CNN
1139,247.73291,236.80125,CNN
1140,244.29083,239.68282,CNN
1141,242.55786,248.27953,CNN
1142,244.19026,242.84618,CNN
1143,244.57112,247.66685,CNN
1144,244.09773,237.43077,CNN
1145,242.2422,240.45079,CNN
1146,248.67348,249.28741,CNN
1147,245.86531,236.16313,CNN
1148,242.77612,240.31577,CNN
1149,242.96771,247.12791,CNN
1150,245.50304,248.29091,CNN
1151,249.63612,228.67195,CNN
1152,245.16861,236.07005,CNN
1153,246.59651,248.29239,CNN
1154,245.41464,243.09444,CNN
1155,239.3124,238.21513,CNN
1156,248.87056,248.90631,CNN
1157,243.08653,242.24373,CNN
1158,246.3902,246.8741,CNN
1159,244.17729,237.77652,CNN
1160,248.63217,246.13707,CNN
1161,247.99255,230.38196,CNN
1162,247.94968,245.97012,CNN
1163,247.67271,243.96622,CNN
1164,249.81549,246.1828,CNN
1165,248.46074,236.59521,CNN
1166,248.09857,248.55191,CNN
1167,245.68225,240.62924,CNN
1168,246.48747,247.81508,CNN
1169,239.80031,238.17416,CNN
1170,249.49779,249.76227,CNN
1171,246.65164,249.88988,CNN
1172,248.22316,245.54625,CNN
1173,236.41306,240.65002,CNN
1174,247.77547,241.48163,CNN
1175,246.66281,231.27118,CNN
1176,246.01678,223.98933,CNN
1177,249.53618,243.83687,CNN
1178,246.19801,244.72855,CNN
1179,249.87038,230.3472,CNN
1180,242.39801,233.82426,CNN
1181,244.97058,242.5082,CNN
1182,244.67244,248.31142,CNN
1183,246.0444,237.7927,CNN
1184,245.13779,243.56801,CNN
1185,242.93326,241.38635,CNN
1186,246.48293,235.33574,CNN
1187,242.64926,244.57745,CNN
1188,240.3223,233.5714,CNN
1189,239.16608,249.65993,CNN
1190,246.34492,242.5525,CNN
1191,247.10777,237.97795,CNN
1192,249.2811,219.2965,CNN
1193,244.21277,239.21924,CNN
1194,246.56877,237.84647,CNN
1195,247.20834,241.69373,CNN
1196,241.27486,246.99467,CNN
1197,249.74951,243.07059,CNN
1198,240.39876,248.70197,CNN
1199,246.21948,242.59041,CNN
1200,242.76707,236.02808,CNN
1201,244.97574,243.27122,CNN
1202,245.42035,240.01698,CNN
1203,241.38911,246.77246,CNN
1204,244.03696,245.62723,CNN
1205,248.99014,239.89838,CNN
1206,247.25664,240.7473,CNN
1207,242.61322,248.45709,CNN
1208,248.30771,228.83315,CNN
1209,247.31805,242.39291,CNN
1210,240.83499,232.77588,CNN
1211,249.56958,240.83684,CNN
1212,245.1674,249.73126,CNN
1213,245.97142,230.67671,CNN
1214,249.35112,243.49796,CNN
1215,243.69745,239.66374,CNN
1216,249.23412,232.98805,CNN
1217,248.4694,230.24763,CNN
1218,249.20116,237.82082,CNN
1219,246.33098,248.87225,CNN
1220,245.91597,248.52202,CNN
1221,246.64105,223.92937,CNN
1222,245.94565,235.00835,CNN
1223,244.48482,237.44524,CNN
1224,248.2271,249.85165,CNN
1225,241.17891,245.6256,CNN
1226,238.97047,207.32623,CNN
1227,246.59593,243.47171,CNN
1228,247.73192,247.22656,CNN
1229,249.81706,245.82787,CNN
1230,243.89114,242.77878,CNN
1231,249.42438,245.53357,CNN
1232,249.90155,235.64494,CNN
1233,248.94197,239.46848,CNN
1234,247.00699,248.72801,CNN
1235,240.78737,237.92728,CNN
1236,246.50342,242.78958,CNN
1237,249.8599,236.69905,CNN
1238,248.49904,246.92973,CNN
1239,243.7182,244.93877,CNN
1240,239.99364,247.617,CNN
1241,249.50877,243.72981,CNN
1242,248.02322,249.64148,CNN
1243,247.45274,244.11351,CNN
1244,241.35724,245.89221,CNN
1245,249.38953,220.82774,CNN
1246,245.41985,247.57724,CNN
1247,245.49654,249.9106,CNN
1248,247.31746,234.63663,CNN
1249,246.87936,231.80817,CNN
1250,247.85995,249.66978,CNN
1251,247.53572,245.55353,CNN
1252,244.4427,224.11162,CNN
1253,243.30278,229.27863,CNN
1254,246.82521,238.08913,CNN
1255,244.33778,249.58339,CNN
1256,249.32646,242.55571,CNN
1257,246.91617,237.82414,CNN
1258,247.50964,246.96309,CNN
1259,244.47118,227.47702,CNN
1260,246.77858,243.13568,CNN
1261,241.61642,247.85716,CNN
1262,246.39186,244.59956,CNN
1263,245.7787,243.33899,CNN
1264,249.10876,236.18695,CNN
1265,249.22849,233.52626,CNN
1266,242.66861,245.37419,CNN
1267,247.60736,247.54887,CNN
1268,244.89015,246.76532,CNN
1269,244.99,231.60797,CNN
1270,249.66357,238.87695,CNN
1271,242.21959,239.09584,CNN
1272,240.81914,245.89801,CNN
1273,242.58632,248.5967,CNN
1274,247.14175,235.92339,CNN
1275,249.65335,227.07846,CNN
1276,246.03067,237.1404,CNN
1277,247.49425,232.87604,CNN
1278,245.99857,239.91393,CNN
1279,244.29187,243.98703,CNN
1280,244.87701,229.7884,CNN
1281,235.39348,243.49852,CNN
1282,244.62567,240.17465,CNN
1283,247.95735,236.8398,CNN
1284,247.46562,246.52306,CNN
1285,238.3879,248.51677,CNN
1286,247.82343,232.13269,CNN
1287,249.53584,240.10654,CNN
1288,246.49382,240.69574,CNN
1289,245.1094,233.87642,CNN
1290,249.5827,227.5982,CNN
1291,247.9928,244.84091,CNN
1292,247.46678,234.99751,CNN
1293,246.22656,249.20784,CNN
1294,245.31943,247.89842,CNN
1295,240.43513,245.01538,CNN
1296,244.16435,238.23033,CNN
1297,242.42693,248.25984,CNN
1298,247.88406,239.40244,CNN
1299,240.38017,238.31659,CNN
1300,247.76237,222.2525,CNN
1301,240.79373,245.23967,CNN
1302,247.60007,248.9763,CNN
1303,244.19508,230.98747,CNN
1304,245.71635,237.68489,CNN
1305,249.6812,244.78958,CNN
1306,239.08394,245.93637,CNN
1307,249.6895,244.94035,CNN
1308,248.68686,241.67056,CNN
1309,248.19763,249.56325,CNN
1310,243.186,235.94116,CNN
1311,242.52446,247.637,CNN
1312,242.147,244.36261,CNN
1313,247.21318,246.47838,CNN
1314,242.80397,235.07034,CNN
1315,245.51393,243.314,CNN
1316,249.02121,245.78334,CNN
1317,248.72792,248.62509,CNN
1318,243.50284,235.49301,CNN
1319,239.17662,241.08752,CNN
1320,249.9116,248.62828,CNN
1321,247.39001,249.34773,CNN
1322,246.46587,220.31,CNN
1323,247.24979,241.61215,CNN
1324,249.755,226.12454,CNN
1325,244.69472,242.75195,CNN
1326,245.22646,233.81224,CNN
1327,243.80594,240.74257,CNN
1328,247.20305,241.50085,CNN
1329,247.71715,223.0144,CNN
1330,246.72841,242.2175,CNN
1331,249.41093,233.39685,CNN
1332,248.1565,248.66241,CNN
1333,244.54047,236.51372,CNN
1334,243.71548,246.69003,CNN
1335,248.60161,240.4479,CNN
1336,245.58154,239.98341,CNN
1337,240.06407,238.53136,CNN
1338,249.9111,243.09659,CNN
1339,248.35728,242.14124,CNN
1340,249.33646,235.20668,CNN
1341,248.92784,249.9905,CNN
1342,246.82123,227.02843,CNN
1343,249.20651,236.42209,CNN
1344,241.27,230.07704,CNN
1345,247.44162,243.41673,CNN
1346,243.68117,239.44818,CNN
1347,243.24153,247.68356,CNN
1348,237.55017,238.25609,CNN
1349,247.6856,242.08983,CNN
1350,244.51279,247.19276,CNN
1351,248.76009,244.12991,CNN
1352,247.27289,234.19002,CNN
1353,238.41116,242.64899,CNN
1354,243.18665,237.94383,CNN
1355,235.82239,248.33104,CNN
1356,248.09314,231.1289,CNN
1357,245.24953,243.12871,CNN
1358,244.9277,232.83524,CNN
1359,248.27826,249.15222,CNN
1360,249.29419,233.93529,CNN
1361,248.98695,245.18317,CNN
1362,240.36862,244.84775,CNN
1363,248.70857,249.5159,CNN
1364,242.0522,247.09941,CNN
1365,247.04507,232.70499,CNN
1366,249.89189,229.54614,CNN
1367,247.94757,247.07904,CNN
1368,241.48589,244.94374,CNN
1369,247.97119,233.34705,CNN
1370,248.91832,248.39421,CNN
1371,245.04213,223.72389,CNN
1372,249.67097,222.78056,CNN
1373,240.47806,247.75908,CNN
1374,242.73602,235.74532,CNN
1375,248.92793,239.51906,CNN
1376,243.11716,236.73843,CNN
1377,246.92134,248.12596,CNN
1378,245.8392,238.4465,CNN
1379,244.94263,232.41762,CNN
1380,246.45851,241.99321,CNN
1381,243.54105,240.19786,CNN
1382,240.4717,247.77307,CNN
1383,247.70558,240.96423,CNN
1384,249.8626,245.63307,CNN
1385,244.88034,242.19087,CNN
1386,247.51598,244.00648,CNN
1387,239.95718,249.38478,CNN
1388,241.49146,248.48383,CNN
1389,243.48126,239.93945,CNN
1390,243.8519,240.4186,CNN
1391,245.27771,242.56754,CNN
1392,244.9865,224.83572,CNN
1393,248.56808,240.82175,CNN
1394,244.48083,248.18262,CNN
1395,241.41292,229.74127,CNN
1396,242.08751,235.47775,CNN
1397,244.16597,248.87996,CNN
1398,246.64465,240.76369,CNN
1399,248.99686,234.25574,CNN
1400,242.6124,238.74373,CNN
1401,248.75638,240.25522,CNN
1402,246.0914,245.92355,CNN
1403,237.44058,248.54846,CNN
1404,242.03368,249.84766,CNN
1405,243.83531,248.88768,CNN
1406,248.08806,244.35051,CNN
1407,242.66707,249.2968,CNN
1408,246.16003,236.74384,CNN
1409,249.91891,239.63844,CNN
1410,247.05136,246.08124,CNN
1411,243.85258,240.55312,CNN
1412,248.93747,219.527,CNN
1413,244.92464,244.37865,CNN
1414,242.18037,246.91959,CNN
1415,248.65346,235.30135,CNN
1416,247.8893,218.82436,CNN
1417,247.61378,239.94531,CNN
1418,246.82596,246.18419,CNN
1419,245.82814,239.96803,CNN
1420,248.9402,229.60307,CNN
1421,248.40134,249.15408,CNN
1422,246.35432,243.1303,CNN
1423,245.25511,230.74548,CNN
1424,245.8685,242.73482,CNN
1425,246.91228,237.9286,CNN
1426,241.9555,240.88289,CNN
1427,249.07043,235.1226,CNN
1428,242.9201,238.5841,CNN
1429,247.65622,233.82753,CNN
1430,244.1875,246.96329,CNN
1431,245.48293,241.42534,CNN
1432,249.11046,240.72496,CNN
1433,242.6749,246.95874,CNN
1434,244.94403,247.48291,CNN
1435,236.43948,248.71426,CNN
1436,245.20126,241.7584,CNN
1437,244.70197,236.51823,CNN
1438,247.89273,238.19543,CNN
1439,249.5644,233.43948,CNN
1440,242.24573,246.7106,CNN
1441,249.9597,241.62793,CNN
1442,245.02852,245.3272,CNN
1443,249.26035,244.50836,CNN
1444,247.58723,232.12213,CNN
1445,247.60417,246.34435,CNN
1446,235.9459,243.32143,CNN
1447,247.52713,248.35074,CNN
1448,241.45863,246.91573,CNN
1449,248.31989,248.27568,CNN
1450,243.11592,242.31702,CNN
1451,248.2931,248.30684,CNN
1452,240.53238,232.69014,CNN
1453,247.9081,243.82018,CNN
1454,247.72003,246.01685,CNN
1455,241.54224,236.76424,CNN
1456,241.71208,229.58112,CNN
1457,236.69868,245.65549,CNN
1458,249.07,243.54378,CNN
1459,248.96709,248.46379,CNN
1460,248.86374,245.90813,CNN
1461,241.73372,248.33853,CNN
1462,245.49086,248.71501,CNN
1463,239.476,242.89444,CNN
1464,249.46313,240.23059,CNN
1465,247.94962,243.15146,CNN
1466,249.94258,239.75716,CNN
1467,243.12108,244.12358,CNN
1468,245.51093,239.89018,CNN
1469,246.0263,248.94377,CNN
1470,241.64822,238.58044,CNN
1471,249.14766,247.75206,CNN
1472,248.23474,240.9039,CNN
1473,241.72728,222.78885,CNN
1474,249.18451,226.70901,CNN
1475,249.28969,238.49698,CNN
1476,247.05722,238.30875,CNN
1477,242.20575,243.728,CNN
1478,249.46677,240.87767,CNN
1479,247.7884,232.84886,CNN
1480,241.33014,235.39885,CNN
1481,246.12477,243.42319,CNN
1482,249.10336,237.04959,CNN
1483,249.77629,232.56345,CNN
1484,246.26407,241.48006,CNN
1485,247.39215,240.89214,CNN
1486,245.52966,248.11288,CNN
1487,248.40138,248.02266,CNN
1488,248.64099,213.97913,CNN
1489,245.07547,225.31499,CNN
1490,247.22342,223.44283,CNN
1491,243.91693,241.62991,CNN
1492,246.84953,240.317,CNN
1493,245.26059,242.94737,CNN
1494,244.4945,245.7891,CNN
1495,244.89488,241.30318,CNN
1496,247.25874,244.20027,CNN
1497,246.4926,239.60817,CNN
1498,249.44691,244.13744,CNN
1499,242.50294,249.6595,CNN
1500,245.65453,230.4953,CNN
1501,241.70036,233.90694,CNN
1502,249.19597,234.73161,CNN
1503,248.09666,225.55034,CNN
1504,237.8528,240.2146,CNN
1505,246.39348,245.69853,CNN
1506,241.40019,247.65926,CNN
1507,248.23357,234.25995,CNN
1508,249.76244,239.33138,CNN
1509,242.57335,236.05608,CNN
1510,248.57939,243.59653,CNN
1511,244.564,237.30405,CNN
1512,242.44408,238.19975,CNN
1513,249.25127,240.03777,CNN
1514,244.12042,248.20868,CNN
1515,247.42746,238.2349,CNN
1516,246.41415,249.23743,CNN
1517,247.97305,240.44048,CNN
1518,239.65671,247.4622,CNN
1519,249.5365,246.68228,CNN
1520,247.08226,235.16296,CNN
1521,248.42401,247.08485,CNN
1522,244.0544,240.0007,CNN
1523,243.02681,226.09497,CNN
1524,245.16138,238.41382,CNN
1525,242.7099,233.60017,CNN
1526,241.14589,244.21487,CNN
1527,247.3293,234.82971,CNN
1528,240.99652,243.9755,CNN
1529,249.24329,247.96237,CNN
1530,246.8621,243.14095,CNN
1531,237.76988,238.53114,CNN
1532,245.86914,247.6499,CNN
1533,248.85274,229.99107,CNN
1534,249.1398,241.26862,CNN
1535,248.53969,242.24321,CNN
1536,244.79362,233.7873,CNN
1537,249.35637,244.1472,CNN
1538,248.0811,243.85321,CNN
1539,243.73795,246.39574,CNN
1540,248.7995,213.8419,CNN
1541,248.327,248.51613,CNN
1542,235.69887,230.53777,CNN
1543,245.89316,241.83482,CNN
1544,247.46703,234.39555,CNN
1545,246.25464,236.49997,CNN
1546,239.75504,248.79445,CNN
1547,245.25049,240.33154,CNN
1548,246.53114,240.58667,CNN
1549,249.09451,234.93837,CNN
1550,248.55518,236.40988,CNN
1551,239.76442,238.92593,CNN
1552,246.57721,240.64433,CNN
1553,244.06712,244.38657,CNN
1554,248.59106,229.19273,CNN
1555,246.0218,217.14142,CNN
1556,227.57008,239.33388,CNN
1557,242.09187,249.22601,CNN
1558,241.5035,239.4214,CNN
1559,249.36456,245.06075,CNN
1560,248.38965,246.05574,CNN
1561,248.88344,234.29285,CNN
1562,245.99666,246.89532,CNN
1563,245.89139,245.98155,CNN
1564,245.96725,234.825,CNN
1565,246.8065,242.28185,CNN
1566,238.62996,240.36923,CNN
1567,246.78923,243.7489,CNN
1568,245.56232,248.60509,CNN
1569,244.34471,235.15207,CNN
1570,244.08893,230.75935,CNN
1571,233.91399,233.9702,CNN
1572,248.53102,229.60219,CNN
1573,247.92683,241.32242,CNN
1574,243.45935,249.11942,CNN
1575,249.42273,239.15929,CNN
1576,249.24661,245.22827,CNN
1577,249.41835,232.3391,CNN
1578,248.42575,242.32893,CNN
1579,248.59508,248.62898,CNN
1580,246.2743,235.79834,CNN
1581,242.00954,224.19669,CNN
1582,242.01,249.962,CNN
1583,248.79398,246.1059,CNN
1584,244.62299,232.0877,CNN
1585,247.1683,248.93199,CNN
1586,244.71379,247.11766,CNN
1587,244.69989,248.55585,CNN
1588,237.72845,249.88922,CNN
1589,248.63603,242.20427,CNN
1590,244.49794,238.02867,CNN
1591,249.67561,233.10205,CNN
1592,247.97044,239.22475,CNN
1593,246.05547,249.07693,CNN
1594,246.6047,246.60637,CNN
1595,244.8432,243.11005,CNN
1596,249.79376,233.65044,CNN
1597,248.95142,238.45978,CNN
1598,246.26633,241.28589,CNN
1599,246.76208,241.313,CNN
1600,241.8462,249.544,CNN
1601,242.15211,238.73482,CNN
1602,246.99023,246.56277,CNN
1603,247.22676,239.0666,CNN
1604,248.18126,246.6856,CNN
1605,247.44958,234.91513,CNN
1606,247.04091,243.85706,CNN
1607,244.23692,249.9784,CNN
1608,243.8287,227.08049,CNN
1609,246.52214,237.3248,CNN
1610,248.50986,242.2518,CNN
1611,246.84908,245.58504,CNN
1612,245.62294,239.72418,CNN
1613,245.83237,246.50136,CNN
1614,247.07895,236.67041,CNN
1615,247.84464,232.8279,CNN
1616,245.56667,245.5534,CNN
1617,247.129,247.42262,CNN
1618,248.15523,246.16373,CNN
1619,249.852,221.7883,CNN
1620,242.80754,247.269,CNN
1621,236.9531,246.69441,CNN
1622,243.45198,249.96858,CNN
1623,243.54895,244.29628,CNN
1624,248.02112,245.08246,CNN
1625,245.44432,247.21411,CNN
1626,244.02486,245.4687,CNN
1627,248.55727,238.42451,CNN
1628,245.6655,249.08217,CNN
1629,248.78296,242.55374,CNN
1630,242.13774,246.37515,CNN
1631,245.0478,243.69522,CNN
1632,246.60219,246.00516,CNN
1633,249.78304,236.48569,CNN
1634,242.7047,246.4387,CNN
1635,244.88254,249.82751,CNN
1636,249.16759,234.19708,CNN
1637,248.22008,240.10602,CNN
1638,248.96034,241.65833,CNN
1639,246.7993,235.5306,CNN
1640,247.20183,246.78693,CNN
1641,248.43976,246.00876,CNN
1642,245.91978,243.40169,CNN
1643,248.90556,246.50578,CNN
1644,246.9739,239.19017,CNN
1645,247.31348,237.36021,CNN
1646,249.86665,239.60532,CNN
1647,248.29007,249.13437,CNN
1648,249.75548,249.39078,CNN
1649,249.8258,247.00833,CNN
1650,239.69586,249.98505,CNN
1651,247.5392,240.70349,CNN
1652,240.62706,243.37415,CNN
1653,242.10887,229.95944,CNN
1654,249.19878,233.56801,CNN
1655,246.89725,240.66223,CNN
1656,245.33209,248.77396,CNN
1657,244.14667,245.34262,CNN
1658,245.0343,239.64514,CNN
1659,249.67918,234.31203,CNN
1660,244.52339,238.57281,CNN
1661,247.53598,239.25642,CNN
1662,248.9059,247.13713,CNN
1663,249.38602,233.2511,CNN
1664,249.52328,217.29453,CNN
1665,236.40132,243.6539,CNN
1666,245.13469,233.7895,CNN
1667,248.82637,242.46454,CNN
1668,249.06886,243.79254,CNN
1669,247.55925,237.13875,CNN
1670,245.53859,243.8443,CNN
1671,249.35855,248.64594,CNN
1672,248.77005,239.10143,CNN
1673,249.23807,247.49103,CNN
1674,246.77142,249.39246,CNN
1675,249.2464,246.72125,CNN
1676,245.95033,249.13141,CNN
1677,246.5029,245.48051,CNN
1678,242.90862,243.57808,CNN
1679,246.86905,237.56664,CNN
1680,247.9801,246.74666,CNN
1681,242.42603,245.42212,CNN
1682,244.5887,234.41406,CNN
1683,243.01047,243.10129,CNN
1684,239.59253,238.74323,CNN
1685,244.97643,247.66516,CNN
1686,249.7293,241.01666,CNN
1687,240.09839,248.5211,CNN
1688,246.89986,244.35165,CNN
1689,248.87282,244.19989,CNN
