,k1,k2
233,249.6547,240.52805
234,249.39507,243.57036
235,249.30186,248.44023
236,249.90938,229.41791
237,249.86949,238.3766
238,249.8565,232.99086
239,249.8788,235.45601
240,249.32133,244.90187
241,249.71753,236.90918
242,249.68222,236.25278
243,249.83342,237.16437
244,249.27745,245.10634
245,249.3048,249.66325
246,249.5877,242.57494
247,249.97711,228.0614
248,249.9907,230.99556
249,249.75778,235.48251
250,249.34956,249.90259
251,249.57724,236.64655
252,249.49907,243.65092
253,249.98189,235.19342
254,249.94524,229.01004
255,249.69818,240.04512
256,249.72093,235.3901
257,249.82611,234.56406
258,249.55116,235.5906
259,249.70767,236.11375
260,249.82307,233.03275
261,249.69789,237.80876
262,249.37454,244.54608
263,249.1269,247.81894
264,249.70549,236.22513
265,249.72284,238.63435
266,249.51079,237.89821
267,249.9156,242.70267
268,249.27629,246.93477
269,249.67378,239.80746
270,249.57867,241.05847
271,249.90765,230.0933
272,249.39342,244.03934
273,249.61435,241.92822
274,249.92694,231.48486
275,249.93582,235.1645
276,249.73862,237.32738
277,249.97804,232.27193
278,249.80716,235.98586
279,248.902,249.32866
280,249.39359,244.89491
281,249.18504,247.91885
282,249.34177,247.06561
283,249.52556,240.96443
284,249.56163,241.2009
285,249.28163,248.29768
286,249.20178,249.27168
287,249.39952,246.39684
288,249.34804,241.16283
289,249.63622,238.90002
290,249.68567,238.8475
291,249.34201,247.71425
292,249.66583,239.72293
293,249.51102,242.3767
294,249.94873,232.26836
295,249.31549,242.80031
296,249.76805,237.59514
297,249.29878,246.92357
298,249.36116,244.4926
299,249.29073,242.8251
300,249.64061,240.91669
301,249.96538,230.6498
302,249.30441,244.2573
303,249.63425,240.59134
304,249.31277,244.61455
305,249.17053,249.489
306,249.4737,241.04167
307,249.8237,234.15353
308,249.90152,227.16324
309,249.22505,245.49275
310,249.51993,243.00655
311,249.76146,236.63109
312,249.70543,234.91283
313,249.5993,237.88632
314,249.65884,242.03839
315,249.79442,231.7031
316,249.4986,239.90729
317,249.40878,249.2068
318,249.07205,249.96742
319,249.48361,245.7606
320,249.7841,232.41171
321,249.18033,249.08545
322,249.71341,233.6503
323,249.74394,238.70978
324,249.50099,243.56694
325,249.5749,243.82437
326,249.89133,235.77367
327,249.74889,236.30318
328,249.47552,242.544
329,249.55354,241.18146
330,249.75528,240.28505
331,249.4414,248.09288
332,249.20941,249.78934
333,249.52953,237.06052
334,249.25061,245.93462
335,249.43488,244.21812
336,249.65234,234.09146
337,249.65622,235.30829
338,249.00192,247.97736
339,249.12685,248.53082
340,249.46217,239.24818
341,249.79388,232.76312
342,249.379,244.28278
343,249.55547,237.37724
344,249.60669,242.20238
345,249.88393,230.44589
346,249.76865,232.08432
347,249.69658,239.9885
348,249.57529,234.88017
349,249.22697,247.94496
350,249.26675,248.82079
351,249.94983,233.32251
352,249.93222,233.7646
353,249.1834,247.33937
