,k1,k2
267,243.24472,246.31868
268,242.71495,245.89536
269,226.90799,242.96872
270,224.23936,242.39188
271,248.66086,248.12605
272,224.99126,242.84364
273,217.19595,244.25697
274,223.69672,241.7901
275,213.6843,246.55656
276,231.10172,245.09705
277,242.41914,247.11812
278,227.14087,241.41434
279,236.97737,244.8015
280,238.41972,245.09767
281,221.63821,249.36786
282,242.82831,246.2103
283,225.75185,242.45877
284,225.60672,241.54485
285,222.3297,244.77379
286,224.8588,243.98898
287,249.1202,247.81514
288,219.31732,246.04288
289,248.53694,247.94739
290,218.95638,244.76376
291,218.36655,242.82716
292,216.39821,242.68762
293,222.17657,245.01646
294,247.30104,248.0383
295,218.03992,241.64223
296,218.30254,244.74504
297,218.08441,244.84964
298,219.63582,244.10115
299,222.61142,242.56387
300,219.8683,245.47224
301,220.93724,248.04745
302,225.4198,245.30511
303,218.57867,248.7892
304,220.9378,242.79568
305,235.49301,244.70724
306,221.71935,244.15381
307,221.73209,242.1803
308,239.19893,245.39276
309,222.4691,245.54613
310,234.01105,244.11383
311,221.41325,240.59282
312,227.9588,245.91356
313,222.61809,244.14557
314,239.44444,246.19316
315,219.726,241.77751
316,222.28242,239.93413
317,219.84183,247.07404
318,218.73302,244.85861
319,219.21332,248.22833
320,220.58853,247.09267
321,223.1901,242.47177
322,218.41673,249.93413
323,227.66011,243.5269
324,220.65668,244.43558
325,222.60895,243.44774
326,216.5301,244.57063
327,228.97379,242.16841
328,215.79402,242.79208
329,220.65176,242.34045
330,226.66064,243.58765
331,218.59749,244.87048
332,216.4693,247.70409
333,224.24733,246.05217
334,219.55438,242.0183
335,226.58263,242.38907
336,226.29062,241.6
337,222.502,242.33307
338,230.37958,243.53667
339,218.95386,247.05975
340,233.63686,244.43886
341,238.79858,245.32462
342,221.45877,245.33438
343,224.12944,241.18985
344,234.48814,244.42442
345,223.2345,246.47473
346,217.14748,248.98074
347,219.92683,245.51552
348,227.71309,243.71985
349,218.56374,246.75473
350,225.08109,245.8895
351,225.16356,241.26686
352,217.59525,245.07043
353,219.64525,246.56552
354,240.16347,246.11469
355,219.2353,248.13086
356,219.10666,248.7376
357,223.10565,241.98756
358,223.68405,244.17914
359,228.8161,243.01825
360,224.24379,242.52475
361,234.12572,245.04022
362,218.54596,245.68219
363,224.976,243.5913
364,219.06674,243.68214
365,220.16992,248.39352
366,222.55843,243.70004
367,234.38818,244.10078
368,218.47444,247.04303
369,244.04344,246.99188
370,221.46306,245.83116
371,226.49484,242.06078
372,227.46144,244.31874
373,219.2035,247.74266
374,230.36127,243.4896
375,219.18575,247.14717
376,218.70409,248.55383
377,220.81,243.53915
378,221.85593,241.38977
379,229.483,242.9988
380,217.33185,246.59523
381,217.12787,244.0544
382,225.25308,241.63043
383,231.05533,242.80124
384,221.32182,245.0948
385,224.23161,245.98006
386,246.98749,248.41722
387,222.43724,249.52356
388,219.3239,243.48257
389,227.606,242.9393
390,217.58102,243.18668
