,k1,k2,k3,a1,a2,a3
0,56.1426,164.11613,232.13803,39.522106,38.127037,28.003723
1,58.39077,161.71825,233.48119,39.29075,38.377625,27.999104
2,56.03646,159.82158,232.48277,39.634598,38.848442,27.850983
3,52.91558,166.5489,229.38234,39.773335,37.24117,28.134865
4,58.015087,163.0236,230.98979,39.462204,38.186005,28.075264
5,57.162395,161.19998,232.46935,39.615265,38.7966,28.033592
6,57.6458,163.35435,228.77904,39.598366,37.965157,28.105835
7,59.75941,163.11348,233.71945,39.029057,38.06595,28.04432
8,57.754383,163.0904,231.87701,39.25164,37.812172,28.112055
9,56.95154,161.42859,228.31427,39.12057,38.523838,28.05656
10,59.32287,163.67996,232.37231,39.343758,37.81587,27.984184
11,55.816536,166.5474,228.5614,39.720352,37.19566,28.042643
12,56.345047,160.42897,227.8452,39.464115,38.3753,28.10776
13,56.71372,160.66284,228.45155,39.486877,38.266426,28.057133
14,56.20122,164.16516,229.29263,39.551353,37.911232,28.153301
15,57.97208,160.92839,230.6312,39.114258,38.31947,28.159275
16,57.800316,166.60771,232.02066,39.483902,37.478943,28.034466
17,56.027466,159.88283,229.72873,39.798546,38.468117,28.138718
18,60.619503,159.17032,232.85268,39.186333,39.0121,28.08672
19,57.675213,164.92783,231.47018,39.455566,37.872818,28.028496
20,58.58309,160.12135,233.11479,39.311966,38.613518,28.022324
21,57.91631,164.97644,228.834,39.400124,37.994736,28.183361
22,57.50171,164.3177,229.74043,39.59532,37.535904,28.142672
23,59.194366,163.85477,231.08154,39.65912,38.183914,28.06619
24,57.231155,163.49211,229.89479,39.378197,37.776108,28.085611
25,56.144794,161.37788,230.7451,39.184315,38.498463,28.044697
26,57.96351,162.37955,229.43813,39.16633,38.387337,28.072582
27,56.528946,162.83228,228.62819,39.912704,37.86094,28.052488
28,56.049294,164.28069,230.33264,39.694504,37.819717,27.912579
29,55.321327,163.85384,228.00793,39.678635,38.00068,28.083612
30,59.78358,163.77596,229.84926,39.417297,38.07739,28.322206
31,58.98442,163.25499,229.53677,38.96577,37.87638,28.067276
32,56.647068,164.9739,230.7905,39.71605,37.722282,28.068483
33,54.76227,161.63846,228.62767,39.839947,38.144585,27.963861
34,57.81479,162.33728,230.68762,39.44864,38.13818,28.075008
35,58.515274,167.0107,232.00706,39.553543,37.474655,28.010244
36,57.169174,160.16951,229.24939,39.190933,38.512596,28.027222
37,55.58668,164.68828,231.82347,39.71926,37.769722,27.980461
38,58.686775,164.3812,231.65433,39.267624,37.732838,28.10857
39,56.691757,164.5652,229.42593,39.540417,38.06495,28.07006
40,57.11834,161.1524,232.33127,39.03516,38.224648,27.85635
41,57.14055,161.2093,232.79652,39.2679,38.592365,27.98867
42,55.875923,163.29454,231.88354,39.520966,38.32356,28.015123
43,57.55334,160.89983,231.5131,39.159676,38.765472,27.91844
44,55.949368,164.40367,228.54758,39.63761,37.821148,28.063133
45,57.912777,162.40451,228.928,39.23535,37.983078,28.12056
46,54.49701,163.3499,230.30322,39.90573,37.943527,27.954073
47,55.02313,163.74922,230.38045,39.495667,38.045315,27.988434
48,55.31004,162.6877,226.1882,39.537315,38.122993,28.123085
49,57.900078,163.3677,227.5671,39.877483,38.018547,28.04042
50,55.830433,162.84142,228.98969,39.40173,38.39073,28.14695
51,55.254723,163.93102,229.6557,39.60027,38.004814,28.05863
52,56.329792,162.097,232.6479,39.687035,38.533123,27.987091
53,56.22648,161.53633,229.68474,39.034485,38.273453,28.021849
54,56.54951,163.10516,230.76758,39.548836,37.863068,28.151413
55,57.69838,164.11786,232.75201,39.459557,38.239777,27.959194
56,57.30569,161.5863,232.38203,39.071857,38.40435,27.944633
57,56.398113,164.75711,232.27998,39.451157,37.623077,28.131416
58,57.240814,162.79109,230.52904,39.591854,38.180347,28.003023
59,55.93495,162.6872,228.70532,39.594032,38.328747,28.135235
60,58.90816,163.02655,230.60768,39.566933,38.26989,28.178137
61,57.365177,162.30956,234.21793,39.034637,37.97573,28.015043
62,53.395473,165.52933,228.51201,39.63162,37.86456,27.993721
63,55.13363,162.92368,229.29932,39.64894,37.870792,27.968273
64,54.53048,160.02946,229.2207,39.412006,38.771774,27.923988
65,55.980953,165.43047,229.90376,39.32727,37.75921,28.104933
66,57.713497,161.08107,231.50664,39.38962,38.6491,27.83571
67,56.499786,165.5599,232.09256,39.417423,37.319847,27.974525
68,58.38119,164.61751,233.06667,38.927193,37.850616,27.959742
69,57.75811,159.81126,229.1424,39.7462,38.876823,28.09003
70,55.89917,166.15604,226.74547,39.973015,37.49305,28.110233
71,56.063084,160.95047,232.96385,39.264137,38.61576,27.901293
72,56.624977,162.49844,228.96169,39.41069,38.024956,27.976715
73,57.750645,162.03815,233.65308,39.434578,38.860134,28.09636
74,52.721703,163.7736,230.0221,39.869034,37.801384,27.924618
75,58.361126,162.94708,231.71167,39.5539,37.940254,28.06105
