,k1,k2,k3
0,218.98653,249.19191,245.83655
1,210.47758,249.58665,245.6247
2,218.50948,248.09772,243.46565
3,183.41682,241.27405,248.78455
4,208.77455,247.879,244.46738
5,204.1184,247.3371,244.61725
6,215.27841,248.4153,243.16344
7,191.29158,245.24312,241.88185
8,194.70903,249.41725,246.24925
9,226.45929,249.62791,239.19646
10,214.91039,248.11415,246.68504
11,182.06575,246.62459,239.95724
12,183.94083,249.45152,247.6548
13,241.83145,248.70432,236.05678
14,232.97858,245.28175,249.9635
15,239.92853,246.3041,246.62881
16,234.72646,241.64587,245.00072
17,248.21014,245.13875,249.78339
18,228.79144,244.31561,245.31699
19,221.55876,240.29985,249.36978
20,205.70094,245.45207,246.34775
21,201.80331,249.4905,248.00659
22,160.5601,245.52267,229.84421
23,210.18478,243.50826,234.818
24,208.36687,247.65968,230.32722
25,211.55013,245.2854,249.66524
26,226.97203,242.92358,247.60583
27,212.17516,249.64023,241.60725
28,232.44939,242.92911,246.93582
29,247.8787,249.13869,240.16792
30,219.75714,245.39297,249.45186
31,248.94383,246.68486,241.22865
32,194.25662,246.59364,240.99782
33,188.69662,240.22647,229.68149
34,199.46005,248.86702,249.04857
35,219.54941,246.59174,246.02946
36,230.58356,245.00742,245.35446
37,209.17297,247.78569,247.20027
38,222.57869,245.06024,245.65633
39,248.99805,249.84341,240.22363
40,207.35458,248.69504,248.31656
41,216.50699,248.9866,248.31918
42,194.32658,242.03737,244.59485
43,192.8346,249.6237,239.70761
44,209.42949,248.57892,248.21758
45,218.41348,244.46864,238.73022
46,220.34142,249.32826,248.48488
47,229.57642,237.3382,231.37508
48,219.65663,249.1947,245.13844
49,223.38635,248.9214,242.1656
50,176.78705,249.077,249.66536
51,225.49835,249.63132,248.87039
52,218.196,248.14061,248.89294
53,215.05183,244.86055,248.22148
54,211.59805,244.28969,245.05531
55,195.17976,249.23,247.412
56,215.67952,249.02234,243.12152
57,173.8244,246.38734,236.4554
58,226.72063,241.03369,245.83043
59,210.17659,239.867,241.77773
60,199.25536,242.87787,245.72025
61,221.28195,247.58736,248.3815
62,237.99022,243.26746,246.66052
63,220.24033,247.61267,248.8184
64,202.80809,247.07927,244.8155
65,213.48285,247.88416,245.64127
66,229.57385,247.31157,245.75526
67,210.08716,249.03952,245.11546
68,203.07526,245.39406,234.22136
69,196.93578,242.61877,246.74518
70,190.21252,247.06229,249.19543
71,183.48254,244.98424,247.5281
72,202.65831,245.39308,245.85191
73,225.6874,246.91714,241.42311
74,212.2687,247.74786,241.01817
75,209.85127,248.76648,248.94327
76,180.41467,236.53491,240.94319
77,207.14188,247.49507,242.56607
78,228.08032,243.95381,249.16882
79,185.50912,249.14732,232.03148
80,227.29109,245.17311,233.4756
81,211.21065,243.74698,246.66403
82,233.35712,240.65442,249.60573
83,210.05605,235.51364,248.70793
84,227.38875,240.91292,245.47658
85,228.24187,249.0114,248.66624
86,202.10587,248.38292,237.48882
87,248.9768,246.81586,247.96472
88,223.49284,239.7728,246.82161
89,210.9883,246.89902,247.57292
90,207.7329,244.66869,236.1072
91,230.93184,248.35713,249.8426
92,227.40268,244.54463,240.95253
93,201.80658,248.27014,249.09634
94,228.31326,248.09375,244.56699
95,231.76057,248.32155,245.3796
96,231.55194,248.48853,248.14445
97,240.15428,249.8623,247.76013
98,236.06168,245.66673,248.30841
99,203.97975,236.69827,249.81256
