,k1,k2,k3,a1,a2,a3,g1,g2,g3,n1,n2,n3,b1,b2,b3
33,247.40817,54.4737,212.05942,38.5126,38.51091,37.259705,0.444711,1.0276985,3.5768018,4.119839,1.8325181,4.624386,24.419949,35.292606,25.756435
34,227.16815,69.724915,216.00179,39.1875,25.446619,38.747295,3.3688047,1.3582224,2.2385426,3.8745797,2.161797,4.169799,23.09727,42.48013,25.377253
35,237.9625,82.5945,197.51332,34.985622,21.298277,39.21747,2.778971,1.0347452,3.0030384,4.83375,2.7368903,4.1056166,24.0313,38.71606,24.837723
36,248.01466,59.05095,240.744,37.836227,25.62858,36.542145,1.8584353,0.6492127,0.7337555,4.6887164,1.7901535,4.0810328,23.765118,40.64781,25.262537
37,244.8378,65.58683,210.62352,37.309143,25.831688,35.15094,0.3676355,0.2790603,2.524273,4.5487895,1.6843004,4.8442016,22.940353,37.01345,25.16182
38,224.66306,61.190094,191.73344,36.869987,31.28088,38.454666,3.8392797,0.22573695,4.831571,4.163844,1.4711089,4.6673555,23.878761,38.387867,25.417421
39,218.09932,75.28881,194.45949,34.105457,23.277443,35.535133,4.1725097,0.41565818,4.64956,4.7718773,2.362102,4.8705893,23.715464,47.297382,25.640564
40,213.04466,49.327106,206.07579,35.70948,33.91424,39.26464,4.715737,0.19966665,2.7029703,3.6719306,1.6528859,4.1735883,24.373108,41.944626,24.878498
41,228.83376,46.500954,215.14584,34.380836,32.931713,35.874134,2.120596,0.94711953,3.976534,4.78516,1.4782696,4.546633,24.378654,42.417576,25.194176
42,224.80995,45.917072,223.71774,37.68138,36.94433,32.89807,1.6271281,0.32375193,3.2223928,4.3251395,1.2564514,4.9379287,23.557972,42.614883,24.994286
43,246.63918,52.61962,198.83209,35.53623,35.31048,36.61921,0.1390382,0.45781493,3.6908212,4.866493,1.6533209,4.4087725,23.826239,44.225372,25.361305
44,220.74457,51.644054,229.40956,35.03204,26.370533,34.334087,3.3409786,0.5225808,1.6966873,4.592724,1.4687922,4.810006,23.961962,38.594254,26.031992
45,212.29869,73.536934,239.09166,36.67343,20.079597,32.600475,2.709614,1.4296842,2.4327657,4.576826,2.337486,4.9536366,23.13755,35.172443,25.787058
46,235.04137,60.61854,210.88132,32.557537,22.848122,35.21804,2.486304,0.45777413,2.7143922,4.4334183,1.9137666,4.6916847,23.743988,37.084,24.638311
47,212.09143,54.767315,207.77281,35.557953,30.610703,37.227478,4.035794,0.16228637,3.9647841,4.106186,1.6618987,4.9550447,23.51819,44.52429,25.339085
48,211.20792,82.757965,210.87999,37.50236,27.114939,38.634632,4.501808,0.5172074,3.2767642,3.634072,1.9400902,4.4857144,23.628664,45.903122,25.033361
49,233.60094,67.67648,215.6425,37.461304,27.007294,35.665863,2.1125379,0.41451606,4.029421,4.4627,1.8389393,4.5858574,23.95587,44.115997,25.061357
50,236.3935,85.02256,189.09848,38.11808,20.103596,39.708782,1.9147236,1.1017687,4.601829,4.4552326,2.5230575,4.216565,23.910564,42.068867,25.284645
51,234.2528,74.58715,204.12926,38.451782,22.041933,39.26083,1.6714073,1.4406735,4.939255,3.5687203,2.8856816,4.903787,23.823189,40.32603,25.248178
52,223.13585,67.0531,201.50815,35.446835,24.788502,39.038254,1.3785958,0.65798116,4.8780127,4.554975,1.8998537,4.5586224,23.498966,42.14872,25.462166
53,207.79805,71.76047,216.77167,36.262947,21.12068,35.90454,3.6202097,0.14407852,3.5507488,3.821153,1.7315168,4.7305717,23.94183,38.834663,25.401197
54,211.35286,50.667484,211.95901,36.064644,37.247528,35.91712,3.128629,0.68165725,3.68492,4.031108,2.1273758,4.6706862,24.141375,36.535545,25.179083
55,246.20848,59.0276,222.31152,37.28602,34.419907,34.958252,2.4615028,0.8852031,3.9067698,4.4733653,2.0371299,4.817192,23.607212,36.91222,24.97891
56,240.59097,53.28879,212.9843,39.581158,27.98098,33.605633,1.8291447,0.5167239,3.143827,3.624987,1.552728,4.7240877,23.008692,43.40386,24.666023
57,197.21121,78.11755,227.01756,37.354813,23.665804,38.6724,4.675066,0.68305105,2.6291215,3.1389747,2.2307825,4.1177664,23.82843,41.62629,24.777775
58,223.23653,76.36438,207.38176,37.294476,23.735058,38.750214,3.41414,0.65672755,3.3888988,4.3272533,2.3377323,4.5685635,23.92631,38.723022,24.705738
59,212.83984,63.240498,223.93906,35.078472,28.173347,35.722427,3.8367105,0.8206445,3.804827,4.3127117,1.7809808,4.6334667,24.086836,42.161537,24.891994
60,209.18835,87.0072,210.18594,35.509907,20.074045,37.40216,4.4756765,1.3916173,4.6716695,4.563794,2.889624,4.831379,23.74823,46.52014,25.436396
61,221.35612,60.678085,214.236,34.39999,29.454304,36.347805,1.0984715,0.17402151,2.2061422,4.5356636,1.7219224,4.1280165,23.953789,45.967945,25.288126
62,223.09062,41.900158,231.10545,36.287994,39.470642,38.04902,4.0942388,1.1682005,0.35440642,4.5634356,1.2643495,3.5673056,23.861736,41.369667,24.576572
63,203.75479,66.379166,217.36345,39.815685,24.212223,38.604904,4.5175447,0.46461093,3.8654222,3.060675,1.9144433,4.5343266,23.546991,40.480827,25.077335
64,208.51898,65.77465,210.99825,37.6965,26.562506,39.431034,3.4017227,1.4792995,4.9741764,3.856108,3.136761,4.943217,24.161255,39.03413,25.951763
65,239.02899,73.42651,207.82683,36.36042,21.420856,39.694145,1.8414973,1.1031808,4.14672,4.6526256,2.7157087,4.2782474,24.291195,38.249973,25.333538
66,236.89613,48.66407,220.0014,38.67042,34.53266,39.56888,3.2255723,0.26695734,1.7479925,4.223175,1.2006844,4.2525816,24.103176,35.12046,25.47745
67,241.76137,66.76878,243.31049,36.414314,31.929502,38.167397,3.6839528,1.5444928,0.9414469,4.477978,2.6749635,3.891266,23.509037,42.34196,25.475822
68,211.16669,72.66176,229.5352,39.616516,24.764679,33.819443,4.2933903,2.3542235,4.891547,3.684881,3.351424,4.863985,23.748108,39.847218,25.467285
69,227.944,54.33614,232.24219,32.618423,34.582226,33.315334,2.5897744,0.2228992,2.6924267,4.8711042,1.8698084,4.231368,24.051119,42.296566,24.771332
70,232.8913,58.985706,238.52032,36.38744,26.115807,34.42572,3.3848858,0.3708537,2.8143563,4.715961,1.444174,4.6019745,24.52887,39.01452,25.114714
71,241.88698,68.172424,201.81247,35.076622,26.958115,39.069214,2.896163,1.6368871,3.0929897,4.1842237,3.2834847,4.2954226,23.323524,41.31318,25.122362
