,k1,k2
266,248.3391,246.65652
267,249.34348,247.0873
268,242.6605,247.48808
269,249.54605,246.77094
270,245.95668,247.0615
271,247.01245,246.7675
272,249.0013,246.13112
273,245.73204,247.07411
274,245.01811,246.89232
275,247.61214,247.07217
276,242.7338,247.75964
277,246.50836,246.66483
278,245.53691,246.62254
279,240.8209,248.13135
280,241.75261,247.33353
281,248.6086,246.38516
282,248.83643,246.83926
283,249.408,246.90686
284,248.34634,247.22679
285,245.04546,246.59021
286,249.47054,247.12785
287,246.26733,247.96307
288,246.69751,246.66917
289,248.56293,246.86131
290,248.14891,246.77757
291,248.53465,247.0197
292,246.70311,247.2941
293,246.51834,247.19678
294,247.73924,246.93497
295,248.11716,246.50517
296,248.53644,246.47946
297,247.72127,246.83685
298,246.04807,246.61745
299,247.59633,246.53854
300,246.2433,246.9933
301,249.61357,246.37367
302,249.19215,246.78899
303,245.91988,247.36017
304,249.15706,247.13924
305,248.01012,246.75957
306,248.40321,247.06555
307,249.12183,246.19618
308,240.99492,247.18604
309,242.27351,247.67557
310,245.95323,247.0895
311,249.5789,246.68144
312,249.98737,247.21661
313,249.72244,246.55455
314,249.03325,246.61377
315,246.72673,247.22688
316,249.89052,248.07436
317,247.63422,246.94058
318,245.98593,246.8618
319,249.84644,246.6204
320,245.52444,247.04329
321,246.29103,246.87633
322,247.23772,247.0367
323,249.38188,246.09035
324,248.96635,247.33879
325,249.40948,246.37634
326,248.03651,246.7605
327,243.89778,246.9323
328,242.00516,247.9092
329,248.47005,246.53459
330,246.3331,247.10847
331,243.0716,246.39441
332,243.43031,247.28682
333,247.86856,246.51628
334,242.13358,247.67365
335,249.00052,246.24814
336,247.20824,246.98485
337,249.08607,246.90149
338,245.20985,247.30379
339,247.39133,247.11418
340,249.08891,247.64107
341,248.93013,246.99892
342,247.54846,247.10707
343,249.73148,245.7632
344,249.30786,246.84424
345,244.88776,247.59517
346,248.61343,246.84088
347,246.4546,247.38115
348,246.48921,246.99965
349,247.45522,246.95432
350,249.30525,246.53192
351,249.49251,247.56354
352,247.42513,247.24318
353,245.62405,246.60225
354,245.21112,246.81267
355,248.95511,246.9955
356,249.2926,246.77815
357,245.4248,248.04677
358,248.63303,246.42697
359,244.73395,246.72826
360,248.47258,247.32256
361,245.79915,247.2811
362,248.27136,247.03517
363,249.05046,246.65211
364,249.71024,247.52753
365,248.35075,247.0087
366,246.98232,247.08125
367,248.21867,246.21547
368,246.38702,246.31807
369,246.25688,247.60365
370,247.6278,246.76381
371,248.45474,247.20174
372,245.22034,247.41632
373,249.69168,246.52518
374,248.7947,247.48889
375,247.31134,246.78542
376,246.64847,247.47646
377,248.65172,246.56682
378,248.86098,246.7115
379,248.97966,246.98071
380,249.65933,247.25122
381,248.79262,246.92215
382,244.32939,247.50922
383,248.95465,246.92442
384,244.75111,247.07626
385,242.2918,247.13345
386,245.11649,247.44644
387,245.38618,247.1897
388,249.99142,246.08311
389,249.41759,247.72148
390,246.52759,246.64294
391,249.27051,247.12303
392,249.85556,246.16164
393,243.22108,248.32
394,248.82648,246.94542
395,248.61816,246.96298
396,244.336,247.28426
397,248.87254,246.98935
398,249.67223,246.7665
399,249.39804,246.72653
400,247.74805,246.8386
401,248.96313,246.07065
402,248.02959,246.90767
403,246.77206,248.00264
404,245.75113,247.37802
405,249.45293,246.8365
406,249.2107,247.1847
407,249.64612,247.14948
408,249.23746,246.71289
409,247.07446,247.21967
410,246.3217,247.30223
411,249.86377,247.41293
412,245.78491,247.22534
413,247.61101,246.69139
414,249.39264,246.33673
415,245.85449,247.04655
416,248.05492,247.37732
417,245.39809,246.98723
418,249.46877,246.84694
419,248.3886,246.59953
420,249.76262,247.01126
421,247.07997,246.66652
422,245.68098,247.24753
423,249.78746,246.34972
424,246.46593,246.80333
425,245.03545,247.05078
426,249.77095,246.92183
427,248.40704,246.68428
428,245.36922,247.07895
429,240.99461,247.13881
430,248.43155,246.1959
431,249.96722,246.6002
432,248.6065,246.74463
433,247.89601,246.68718
434,245.56221,246.81937
435,248.38002,247.1288
436,247.35031,247.50955
437,245.25981,246.83066
438,244.42706,247.46082
439,247.47287,246.82567
440,249.49536,247.68216
441,249.2728,246.84846
442,249.74025,246.81966
443,247.51372,247.23918
444,248.9012,246.41806
445,249.63387,246.79811
446,242.41779,247.01752
447,248.17978,246.75914
448,247.8424,247.47499
449,249.45589,246.83617
450,244.1415,247.4453
451,247.69188,246.88637
452,248.876,247.07816
453,248.1974,247.06104
454,248.41359,247.37805
455,248.76152,247.19246
456,249.96722,246.54805
457,247.99507,246.0268
458,249.5447,247.70436
459,248.29228,247.06012
460,249.73169,247.43144
461,248.17966,247.2567
462,245.37881,248.00735
463,249.8288,246.41603
464,248.37715,246.70222
465,249.84042,246.2566
466,249.28421,246.7338
467,246.71066,246.8871
468,249.48128,246.46654
469,249.71533,246.88782
470,248.1654,247.12978
471,246.87094,246.13159
472,248.82156,247.15608
473,239.57404,247.8849
474,248.28229,247.01341
475,248.8834,247.00763
476,245.75862,246.97249
477,249.95831,246.52228
478,248.13655,247.13136
479,242.05588,247.47295
480,249.91692,246.07207
481,249.40062,246.6388
482,249.13016,246.78755
483,248.9464,246.56136
484,249.98018,246.42412
485,247.84117,246.93958
486,249.40614,247.01132
487,246.54774,246.94661
488,246.92421,246.4975
489,247.67627,246.54259
490,246.24907,246.69295
491,248.30421,246.2397
492,247.77734,247.12129
493,246.08768,246.95706
494,249.32143,246.12483
495,249.13945,246.80922
496,247.35959,246.90265
497,243.3685,247.72893
498,248.957,247.48303
499,243.1642,247.15057
500,246.92482,247.53607
501,242.87863,247.4783
502,249.15234,246.19652
503,249.87915,246.72073
504,249.8029,246.83884
505,246.82997,248.06831
506,249.48122,246.88132
507,245.00258,247.83229
508,239.92863,247.454
509,248.87125,246.38577
510,243.37909,247.53108
511,246.8058,246.69905
512,244.73372,247.49185
513,248.97327,246.75357
514,248.6429,247.60165
515,248.47978,247.20415
516,246.15913,247.33374
517,245.01775,246.42984
518,246.60768,247.04706
519,244.98183,247.03917
520,248.74876,246.61194
521,248.4002,247.08476
522,246.40141,247.61708
523,245.6219,246.30922
524,246.92285,247.54468
525,247.07469,246.85286
526,247.57417,246.86003
527,245.90344,247.83588
528,246.36217,247.27037
529,249.66673,246.99931
530,244.52838,246.99069
531,247.18451,246.93227
532,247.55328,247.65202
533,247.92075,247.00478
534,245.82584,247.08995
535,247.6518,246.43016
536,248.5705,246.3775
537,246.14151,247.28014
538,248.9497,246.99236
539,249.43974,246.66316
540,249.89586,247.00963
541,241.84224,246.6954
542,249.4236,246.80165
543,248.67719,246.20485
544,249.35394,246.5972
545,249.82452,246.87346
546,249.8085,246.93658
547,249.06212,246.35777
548,247.62437,247.42575
549,249.94589,246.35281
550,247.8579,246.82365
551,247.32591,247.27682
552,245.75047,247.62051
553,246.10645,247.02641
554,248.49133,246.84549
555,245.0498,247.69829
556,247.32124,246.35645
557,246.80386,246.83794
558,247.08803,247.1876
559,248.6256,246.85464
560,247.5434,247.30798
561,248.11267,246.9653
562,244.6063,247.21533
563,243.49615,247.11424
564,248.89348,246.48592
565,248.96236,246.10544
566,249.74165,246.33916
567,248.95178,247.01527
568,248.62958,246.69362
569,245.43828,246.92863
570,249.12257,246.4666
571,247.87196,246.84618
572,249.25264,246.46016
573,248.24355,246.66699
574,249.2137,246.82292
575,248.93254,246.38844
576,246.50757,247.1075
577,249.06111,246.70372
578,246.63354,246.93692
579,246.78609,247.12134
580,248.30928,247.08943
581,249.46336,246.4589
582,248.03142,246.9068
583,244.44894,246.78357
584,249.1148,246.5835
585,249.97354,246.24356
586,248.48883,247.25494
587,248.37935,246.84097
588,249.22217,246.5256
589,249.66798,246.29382
590,247.86057,246.82497
591,246.1222,247.81824
592,247.7829,246.91565
593,249.55159,246.48766
594,247.02837,247.0962
595,249.01082,247.04755
596,248.0339,247.5963
597,246.53323,247.12868
598,242.05348,248.05309
599,245.47899,247.05865
600,248.58075,246.43523
601,247.6522,246.72955
602,249.93616,247.3815
603,247.51419,247.10736
604,246.78082,246.87114
605,247.96005,247.55948
606,249.78984,246.61954
607,244.42729,247.28523
608,241.55115,247.65321
609,248.3595,246.63272
610,245.03807,246.9981
611,241.83368,247.17612
612,246.3646,246.61644
613,248.52979,246.35623
614,248.7691,247.38783
615,247.94875,246.48817
616,248.34215,246.8039
617,246.4698,246.88007
618,247.41629,246.79346
619,246.3969,246.80171
620,245.579,247.17084
621,247.14114,247.00705
622,249.27858,246.87547
623,246.98013,247.18265
624,248.71323,246.78603
625,244.98445,247.24527
626,246.79599,247.1342
627,245.90341,246.68744
628,244.89728,247.82712
629,249.67859,245.86159
630,249.14644,246.80952
631,249.78912,246.38919
632,249.68263,246.24
633,248.61143,247.16205
634,245.81941,247.17593
635,244.83803,246.98093
636,247.80475,246.74605
637,249.35086,246.38547
638,246.1086,247.27765
639,245.15318,246.66078
640,246.80557,246.46773
641,245.62987,247.91243
642,246.84036,247.19786
643,246.1794,247.18108
644,248.37885,247.06046
645,247.68292,247.07947
646,249.16798,246.74985
647,249.12117,247.0568
648,246.13545,246.85292
649,248.7748,247.18515
650,248.86972,246.99886
651,247.64877,246.91821
652,246.5606,246.3863
653,243.44093,247.14355
654,249.99747,246.93187
655,247.37894,247.6044
656,247.63586,246.7803
657,247.77219,246.9878
658,248.02594,246.57317
659,247.19215,246.29782
660,248.93813,246.4539
661,248.324,247.03539
662,247.1899,246.69133
663,247.79291,246.90523
664,249.71283,247.00603
665,249.23232,246.54074
666,249.4398,246.65376
667,247.80392,246.5594
668,249.1295,246.96353
669,248.39485,246.55814
670,249.24371,246.69934
671,247.55971,246.62181
672,244.6532,246.84795
673,248.37178,247.4639
674,248.25845,246.41489
675,248.94997,245.8252
