,k1,k2,k3,a1,a2,a3
0,151.98123,168.3034,93.710495,35.49263,27.975588,35.263126
1,152.1565,168.34406,94.22751,35.479355,27.90696,35.28543
2,151.86748,167.69254,94.083916,35.423264,27.90965,35.3136
3,152.9341,166.72377,94.24007,35.443268,27.852259,35.27805
4,154.23645,166.47845,93.91265,35.29995,28.009398,35.387924
5,153.81532,166.50484,96.13445,34.88382,27.880573,35.254135
6,154.06543,165.50725,95.26141,35.07883,27.956814,35.2358
7,154.46848,165.2954,95.5945,35.017162,27.910736,35.232178
8,154.45137,165.33353,95.69208,34.931877,27.926922,35.26048
9,154.37354,165.56836,96.442635,34.757572,28.00069,35.194828
10,154.50258,165.1676,96.60654,34.75771,27.970705,35.1155
11,154.39748,164.60329,97.30069,34.68968,27.990818,35.089783
12,155.01804,164.6256,96.67628,34.527805,28.036875,35.048008
13,155.39493,163.9304,97.35155,34.462986,28.025915,35.064564
14,155.24147,163.33261,97.245575,34.39563,28.0489,35.039803
15,155.61388,163.30414,97.65038,34.43895,28.052475,35.02416
16,155.32057,162.85403,97.72508,34.327526,28.006348,35.041725
17,155.31273,162.70374,97.81408,34.423393,28.006508,35.05855
18,155.71309,162.23969,98.37408,34.365055,28.01646,35.118317
19,155.89677,162.12024,98.710075,34.32985,27.99459,35.12139
20,155.98965,161.23602,98.558174,34.285416,27.965382,35.021667
21,155.83932,161.53906,99.03296,34.299034,28.002937,35.030365
22,155.9551,161.2433,98.98316,34.263832,27.977068,35.054077
23,156.25407,161.26936,98.86883,34.31401,27.999413,35.18242
24,156.10648,161.53941,98.59956,34.290836,27.947409,35.185802
25,156.1198,161.5576,98.48537,34.290237,27.962564,35.10971
26,156.14256,161.61282,98.86505,34.2832,27.993061,35.107624
27,155.78934,161.83824,98.43613,34.27204,28.003742,35.113876
28,155.80914,162.08363,98.68836,34.399612,28.003057,35.05645
29,155.7657,161.90869,98.8238,34.39181,28.00257,35.100193
30,155.87405,162.00037,98.37919,34.38588,28.002579,35.108788
31,155.97247,162.25204,98.33374,34.329296,28.028095,35.059914
32,156.2607,162.30171,98.06884,34.131115,28.07928,35.071842
33,156.19406,162.47513,98.17696,34.185005,28.058756,35.087894
34,156.2304,162.30261,97.76642,34.234016,28.013142,35.08787
35,156.39917,162.18497,98.3142,34.196575,28.0447,35.178234
36,156.26767,162.1275,98.23673,34.232986,28.0144,35.15723
37,156.39815,162.0811,98.3492,34.229164,28.028488,35.173153
38,156.40184,161.52303,98.42938,34.210194,28.00935,35.124138
39,156.49387,161.61295,98.71547,34.25211,28.002176,35.172905
40,156.64265,161.07042,98.919945,34.220985,28.041409,35.1348
41,156.55931,161.02142,98.89015,34.168232,28.00105,35.086563
42,156.68549,161.5901,98.747444,34.132805,28.035072,35.165768
43,156.37393,161.65495,98.28705,34.143856,28.043283,35.0715
44,156.43677,161.70872,98.86716,34.135895,28.078325,35.08004
45,156.86008,162.13864,98.351105,34.13953,28.099842,35.089577
46,156.91617,161.82724,98.422806,34.101025,28.077164,35.12508
47,156.85541,161.60739,98.5304,34.100777,28.082848,35.111565
48,157.01273,161.69073,98.50832,34.06292,28.08562,35.131874
49,157.28032,161.9515,98.235855,34.01569,28.1555,35.05833
50,156.9502,161.5759,98.53892,34.063217,28.13898,35.10074
51,156.95857,161.75835,98.42998,34.101593,28.073292,35.16045
52,156.96477,161.30853,98.69756,34.11206,28.06239,35.089516
53,157.07568,160.92076,98.65167,34.08224,28.059742,35.08928
54,156.8896,161.03288,98.91455,34.0721,28.011873,35.146465
55,156.74199,160.90045,99.000984,34.122814,28.03797,35.09866
56,156.98439,161.14279,98.64049,34.075676,28.04622,35.057487
57,156.5341,160.9477,98.96285,34.1021,28.032454,35.112072
58,156.71246,161.23177,98.70207,34.028717,28.040112,35.13283
59,157.25067,161.22948,98.461426,34.090668,28.016811,35.181717
60,157.27348,160.903,98.71973,33.968353,28.070602,35.103554
61,157.30725,161.12978,98.40375,34.122807,28.088501,35.11576
62,157.19904,161.3411,98.565674,34.002495,28.10232,35.12815
63,157.00177,161.28436,98.53658,34.00656,28.07061,35.08404
64,157.04886,161.32352,98.69863,34.02393,28.10088,35.069733
65,157.17102,161.12553,98.75625,34.037685,28.076015,35.136715
66,157.0647,161.34961,98.56658,34.09221,28.085056,35.132267
67,157.38077,160.89711,98.73542,34.04698,28.070774,35.117954
68,157.49258,160.47768,99.11342,33.950413,28.065659,35.131943
69,157.56276,160.44504,98.86782,33.989876,28.06202,35.144203
70,157.75635,160.54326,99.21176,33.947075,28.087194,35.139244
71,157.75705,160.49326,99.2467,33.96084,28.050499,35.15971
72,158.05956,160.36539,99.068115,33.952713,28.060972,35.2025
73,158.10173,161.13907,98.83878,33.952034,28.098652,35.20392
74,158.15518,161.05148,98.27903,33.81163,28.126156,35.167084
75,157.89836,160.93365,98.22153,33.803783,28.113785,35.14057
76,158.09589,161.03262,98.44414,33.81555,28.13655,35.158375
77,158.01004,161.05743,98.48424,33.897285,28.122847,35.23178
78,158.30005,161.14076,98.40103,33.89605,28.124767,35.282936
79,158.18927,160.99171,98.514366,33.81157,28.106522,35.21438
80,158.22751,161.15857,98.27635,33.74714,28.129019,35.215878
81,157.91649,160.56787,98.39583,33.960716,28.044323,35.20456
82,157.90044,160.79785,98.50088,33.92983,28.045292,35.26568
83,157.88878,160.66312,98.64123,33.951424,28.039186,35.264557
84,157.95065,160.73642,98.50962,33.93895,28.065802,35.21431
85,157.96149,160.64409,98.76012,33.926907,28.075573,35.184395
86,157.69008,160.64983,98.76482,33.83575,28.078236,35.163704
87,157.71942,160.84685,98.28055,33.98314,28.082111,35.146904
88,157.5013,161.41785,98.29307,33.98307,28.085144,35.218613
89,157.2612,161.4491,98.41111,34.05313,28.104576,35.1865
90,157.36183,161.24376,98.57224,34.014988,28.08276,35.16606
91,157.24706,161.43031,98.63626,34.077713,28.115417,35.064827
92,157.21294,161.55334,98.27644,34.075245,28.104088,35.070072
93,157.53152,161.56102,98.040695,33.99032,28.094036,35.13673
94,157.58035,161.7757,98.167946,34.026382,28.15732,35.124805
95,157.3598,161.57034,98.52281,34.04126,28.131084,35.12763
